"Expr1000","MSW05binom","POINT_X","POINT_Y","binomial_tree","Class","Family","Genus","Species","1-1_ActivityCycle","2-1_AgeatEyeOpening_d","3-1_AgeatFirstBirth_d","5-1_AdultBodyMass_g","5-2_BasalMetRateMass_g","5-3_NeonateBodyMass_g","5-4_WeaningBodyMass_g","5-5_AdultBodyMass_g_EXT","5-6_NeonateBodyMass_g_EXT","5-7_WeaningBodyMass_g_EXT","6-1_DietBreadth","6-2_TrophicLevel","7-1_DispersalAge_d","8-1_AdultForearmLen_mm","9-1_GestationLen_d","10-1_PopulationGrpSize","10-2_SocialGrpSize","12-1_HabitatBreadth","12-2_Terrestriality","13-1_AdultHeadBodyLen_mm","13-2_NeonateHeadBodyLen_mm","13-3_WeaningHeadBodyLen_mm","14-1_InterbirthInterval_d","15-1_LitterSize","16-1_LittersPerYear","16-2_LittersPerYear_EXT","17-1_MaxLongevity_m","18-1_BasalMetRate_mLO2hr","21-1_PopulationDensity_n/km2","22-1_HomeRange_km2","22-2_HomeRange_Indiv_km2","23-1_SexualMaturityAge_d","24-1_TeatNumber","25-1_WeaningAge_d","26-1_GR_Area_km2","26-2_GR_MaxLat_dd","26-3_GR_MinLat_dd","26-4_GR_MidRangeLat_dd","26-5_GR_MaxLong_dd","26-6_GR_MinLong_dd","26-7_GR_MidRangeLong_dd","27-1_HuPopDen_Min_n/km2","27-2_HuPopDen_Mean_n/km2","27-3_HuPopDen_5p_n/km2","27-4_HuPopDen_Change","28-1_Precip_Mean_mm","28-2_Temp_Mean_01degC","30-1_AET_Mean_mm","30-2_PET_Mean_mm"
"Aethomys nyikae","Aethomys nyikae",25.94,-10.57,"Aethomys_nyikae","Rodentia","Muridae","Aethomys","nyikae",,,,,,,,,,,,,,,,,,,,,,,,"3.56",,,,,,,,,,,"1442818.13","-6.9","-19.85","-13.37","35.41","16.48","25.94","1","16.83","2","0.18","100.31","221.21","910.84","1451.97"
"Aethomys silindensis","Aethomys silindensis",33.09,-19.46,"Aethomys_silindensis","Rodentia","Muridae","Aethomys","silindensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77194.26","-17.4","-21.31","-19.36","34.43","31.74","33.09","5","28.27","5","0.2","89","220.69","932.92","1411.12"
"Aethomys stannarius","Aethomys stannarius",10.71,10.15,"Aethomys_stannarius","Rodentia","Muridae","Aethomys","stannarius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"285522.83","12.57","7.47","10.02","13.87","7.55","10.71","5","79.16","8","0.12","88.53","258.7","842.93","1658.52"
"Aethomys thomasi","Aethomys thomasi",15.71,-12.22,"Aethomys_thomasi","Rodentia","Muridae","Aethomys","thomasi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"189059.96","-9.48","-15.65","-12.57","18","13.42","15.71","1","16.37","1","0.13","98.49","201.86","923.19","1345.29"
"Ailuropoda melanoleuca","Ailuropoda melanoleuca",104.36,32.33,"Ailuropoda_melanoleuca","Carnivora","Ursidae","Ailuropoda","melanoleuca","2",,,"117999.99",,"104.39","21999.99",,,,"3","1","540",,"134.99",,,"1","1","1345.98",,,"638.75","1.62",,"0.82","360",,"0.18","3.55","3.76","2413.02",,"178.98","36206.89","34.01","27.51","30.76","108.79","100.77","104.78","7","103.55","8","0.05","101.81","65.51","757.25","907.75"
"Ailurops ursinus","Ailurops ursinus",121.99,-3.75,"Ailurops_ursinus","Diprotodontia","Phalangeridae","Ailurops","ursinus","1",,,"10000",,,,,,,"1","1",,,,,,"1","2",,,,,,,,,,,,,,,,"175900.06","1.75","-5.7","-1.97","125.29","118.75","122.02","17","93.46","17","0.08","229.47","215.95","1812.6","1909.15"
"Ailurus fulgens","Ailurus fulgens",94.38,29.29,"Ailurus_fulgens","Carnivora","Ailuridae","Ailurus","fulgens","2","18","760.41","5170.08","5345","104.04",,,,,"3","1","270",,"131.5",,,"1","1","582.32",,,"365","1.7","1",,"168","838.36",,"1.43","1.52","604.05","4","136.87","1075406.59","35.36","21.41","28.38","106.15","82.62","94.38","1","51.8","2","0.07","131.93","44.73","828.72","1043.82"
"Akodon aerosus","Akodon aerosus",-76.00,-7.21,"Akodon_aerosus","Rodentia","Cricetidae","Akodon","aerosus",,,,"59.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160799.5","-1.49","-16.2","-8.85","-67.65","-78.17","-72.91","1","10.09","1","0.11","200.29","194.43","1341.01","1442.62"
"Spilocuscus maculatus","Spilocuscus maculatus",140.90,-5.84,"Spilocuscus_maculatus","Diprotodontia","Phalangeridae","Spilocuscus","maculatus","1",,,"4060.46","4250",,"1700",,,,"3","1",,,"12.99",,,"1","2","457.96",,,"365","1.26",,"1.1","132","1062.5",,,,"221.76","4","240.75","782259.13","-0.34","-10.7","-5.52","150.87","130.93","140.9","1","6.57","1","0.15","241.75","240.11","1664.73","1715.26"
"Spilocuscus papuensis","Spilocuscus papuensis",130.77,-0.37,"Spilocuscus_papuensis","Diprotodontia","Phalangeridae","Spilocuscus","papuensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3163.91","-0.00769","-0.45","-0.23","131.33","130.2","130.77","5","5","5","0","219","251",,
"Spilocuscus rufoniger","Spilocuscus rufoniger",142.82,-4.10,"Spilocuscus_rufoniger","Diprotodontia","Phalangeridae","Spilocuscus","rufoniger","2",,,"5999.99",,,,,,,,,,,,,,,,,,,,"1.02",,,,,,,,,,,"113157.49","-2.27","-6.66","-4.47","147.76","137.88","142.82","2","8.25","5","0.12","252.11","260.15","1688.05","1718.09"
"Spilogale gracilis","Spilogale gracilis",-112.01,25.88,"Spilogale_gracilis","Carnivora","Mephitidae","Spilogale","gracilis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3831634.7","51.59","21.59","36.59","-97.73","-126.3","-112.01","0","22.96","0","0.1","34.13","117.65","418.03","1007.45"
"Spilogale putorius","Spilogale putorius",-92.13,39.06,"Spilogale_putorius","Carnivora","Mephitidae","Spilogale","putorius","1","30.07",,"566.49","550","12.29",,,,,"6","2",,,"32.99",,,"1","1","299.49",,,"243.33","5.07",,"1.35","120","261","4.7","0.29","0.31","196.96","8","55.68","2957350.08","49.34","24.94","37.14","-77.41","-106.85","-92.13","0","32.08","1","0.04","72.47","134.16","795.02","944.25"
"Spilogale pygmaea","Spilogale pygmaea",-98.95,16.84,"Spilogale_pygmaea","Carnivora","Mephitidae","Spilogale","pygmaea","2","28",,"365",,"6.9",,,,,"6","2",,,"47.22",,,"1","1",,"62.99",,,"4",,,,,,,,,"8",,"95598.41","23.33","15.64","19.49","-94.4","-106.45","-100.42","6","36.44","8","0.06","97.2","217.13","888.37","1676.63"
"Steatomys caurinus","Steatomys caurinus",-3.79,9.73,"Steatomys_caurinus","Rodentia","Nesomyidae","Steatomys","caurinus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1223000.7","15.2","5.8","10.5","9.51","-17.11","-3.79","3","46.76","7","0.13","105.79","268.27","968.31","1585.17"
"Steatomys cuppedius","Steatomys cuppedius",-5.51,6.32,"Steatomys_cuppedius","Rodentia","Nesomyidae","Steatomys","cuppedius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"490786.66","16.32","5.37","10.85","9.08","-16.66","-3.79","3","100.72","10","0.1","139.33","262.06","1096.6","1571.68"
"Steatomys jacksoni","Steatomys jacksoni",-1.50,7.48,"Steatomys_jacksoni","Rodentia","Nesomyidae","Steatomys","jacksoni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5980.85","7.9","7.08","7.49","-1.08","-1.93","-1.5","38","68.51","38","0.21","113.75","264.99","1276.26","1663.74"
"Steatomys krebsii","Steatomys krebsii",19.71,-15.09,"Steatomys_krebsii","Rodentia","Nesomyidae","Steatomys","krebsii",,,,"20.67",,,,,,,,,,,,,,,,,,,,"4.62",,,,,,,,,,,"1170401.63","-11.41","-34.83","-23.12","31.01","13.43","22.22","1","20.92","1","0.17","63.88","196.03","714.7","1352.51"
"Steatomys parvus","Steatomys parvus",20.26,-20.17,"Steatomys_parvus","Rodentia","Nesomyidae","Steatomys","parvus",,,,"4.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1086781.25","5.55","-28.27","-11.36","37.24","13.3","25.27","0","15.94","0","0.12","64.02","217.92","784.25","1489.22"
"Stenocephalemys albipes","Stenocephalemys albipes",38.22,8.35,"Stenocephalemys_albipes","Rodentia","Muridae","Stenocephalemys","albipes",,,,,,,,,,,,,,,,,,,,,,,,"4.41",,,,,,,,,"10",,"393242.25","15.43","3.54","9.49","42.25","34.2","38.22","2","87.57","4","0.15","88.33","180.63","986.57","1433.86"
"Stenocephalemys albocaudata","Stenocephalemys albocaudata",39.19,8.15,"Stenocephalemys_albocaudata","Rodentia","Muridae","Stenocephalemys","albocaudata",,,,"144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64708.89","10","6.19","8.09","40.26","38.13","39.19","8","110.27","13","0.15","77.76","115.19","936.98","1424.93"
"Stenocephalemys griseicauda","Stenocephalemys griseicauda",38.95,8.60,"Stenocephalemys_griseicauda","Rodentia","Muridae","Stenocephalemys","griseicauda",,,,"85.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117886.45","13.78","5.92","9.85","40.59","37.32","38.95","4","105.58","13","0.15","88.04","133.05","933.83","1440.99"
"Stenocephalemys ruppi","Stenocephalemys ruppi",37.37,6.16,"Stenocephalemys_ruppi","Rodentia","Muridae","Stenocephalemys","ruppi",,,,"48.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10289.98","6.72","5.37","6.05","37.85","36.9","37.37","38","102.66","38","0.14","68.48","199.9","1152.73","1267.26"
"Stenoderma rufum","Stenoderma rufum",-66.42,18.22,"Stenoderma_rufum","Chiroptera","Phyllostomidae","Stenoderma","rufum",,"0",,"21.1",,"7",,,,,"1","1",,"49.37",,,,"1","2","61.87","45",,,"0.99",,,,,,,,,,,"8961.11","18.52","17.92","18.22","-64.66","-67.26","-65.96","92","306.66","92","0.05","104.75","240",,
"Stochomys longicaudatus","Stochomys longicaudatus",19.21,-0.21,"Stochomys_longicaudatus","Rodentia","Muridae","Stochomys","longicaudatus","1",,,"70.95","84.2",,,,,,,,,,,,,"2","2",,,,,"2.38",,,,"97.5","83.26",,,,,,"2229944.82","6.64","-5.93","0.35","30.26","8.15","19.21","0","18.52","1","0.12","151.47","242.84","1402.8","1561.43"
"Strigocuscus celebensis","Strigocuscus celebensis",121.99,-3.75,"Strigocuscus_celebensis","Diprotodontia","Phalangeridae","Strigocuscus","celebensis","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"179049.44","3.74","-5.7","-0.98","128.16","118.75","123.45","5","92.96","17","0.07","230.23","216.45","1812.6","1909.15"
"Strigocuscus pelengensis","Strigocuscus pelengensis",124.82,-1.79,"Strigocuscus_pelengensis","Diprotodontia","Phalangeridae","Strigocuscus","pelengensis","1",,,,,,,,,,"1","1",,,,,,"1","2",,,,,,,,,,,,,,,,"6454.39","-1.15","-2.02","-1.59","126.34","122.78","124.56","5","15.91","5","0.04","250.99","238.66",,
"Sturnira aratathomasi","Sturnira aratathomasi",-73.82,4.75,"Sturnira_aratathomasi","Chiroptera","Phyllostomidae","Sturnira","aratathomasi",,,,"49.67",,"13.6",,,,,"1","1",,"58.59",,,,"1","2","89.27","41.03",,,"0.99",,,,,,,,,,,"450907.36","9.34","-3.03","3.15","-69.93","-77.71","-73.82","0","51.41","1","0.12","188.57","227.58","1456.3","1533.95"
"Sturnira bidens","Sturnira bidens",-74.41,-11.91,"Sturnira_bidens","Chiroptera","Phyllostomidae","Sturnira","bidens",,,,"18.05",,,,,"1.29",,"1","1",,"41.49",,,,"1","2",,"25.02",,,"0.99","2",,,,,,,,,,"381210.45","8.93","-12.83","-1.95","-69.71","-79.11","-74.41","1","47.83","2","0.1","145.74","191","1295.76","1481.68"
"Sturnira bogotensis","Sturnira bogotensis",-75.48,-9.06,"Sturnira_bogotensis","Chiroptera","Phyllostomidae","Sturnira","bogotensis",,,,"19.94",,,,,,,"1","1",,,,,,"1","2",,,,,"0.98",,,,,,,,,,,"707990.74","9.91","-11.82","-0.95","-69.95","-81","-75.48","1","48.76","2","0.12","143.22","207.19","1263.68","1473.8"
"Sturnira erythromos","Sturnira erythromos",-70.40,-14.06,"Sturnira_erythromos","Chiroptera","Phyllostomidae","Sturnira","erythromos",,,,"15.53",,,,,"0.99",,"1","1",,"41.74",,,,"1","2",,"22.52",,,"0.99",,,,,,,,,,,"3121221.48","12.46","-28.19","-7.86","-60.78","-80.02","-70.4","0","37.36","1","0.11","126.41","197.44","1167.28","1496.62"
"Sturnira lilium","Sturnira lilium",-72.71,-1.30,"Sturnira_lilium","Chiroptera","Phyllostomidae","Sturnira","lilium","1",,,"20.19","21.9","5.25",,,,,"3","2",,"40.5","107.97",,,"1","2","65.96","35.04",,,"0.99","2",,,"39.2",,,,,,,"15518876.5","29.98","-34.94","-2.47","-34.79","-110.64","-72.71","0","28.95","0","0.11","142.56","232.46","1248.36","1501.14"
"Sturnira ludovici","Sturnira ludovici",-81.87,8.56,"Sturnira_ludovici","Chiroptera","Phyllostomidae","Sturnira","ludovici",,,,"21",,,,,"1.54",,"1","1",,"43.5",,,,"1","2",,"26.8",,,"0.99","2",,,,,,,,,,"2756672.83","24.62","-4.34","10.13","-57.04","-106.62","-81.83","0","60.71","1","0.12","132.38","230.47","1271.5","1616.46"
"Sturnira luisi","Sturnira luisi",-80.44,-4.98,"Sturnira_luisi","Chiroptera","Phyllostomidae","Sturnira","luisi",,,,,,,,"11.99",,,"1","1",,"43",,,,"1","2",,,,,,,,,,,,,,,,"530510.11","10.5","-10.2","0.15","-76.3","-84.59","-80.44","0","47.3","2","0.1","174.37","210.48","1116.25","1473.71"
"Sturnira magna","Sturnira magna",-72.37,-13.09,"Sturnira_magna","Chiroptera","Phyllostomidae","Sturnira","magna",,,,,,,,"27.55",,,"1","1",,"57.5",,,,"1","2",,,,,"0.98",,,,,,,,,,,"1663098.75","1.82","-18.79","-8.48","-65.01","-79.74","-72.37","0","19.15","0","0.11","159.27","192.95","1176.97","1421.23"
"Sturnira mistratensis","Sturnira mistratensis",-76.07,5.37,"Sturnira_mistratensis","Chiroptera","Phyllostomidae","Sturnira","mistratensis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"318.63","5.46","5.28","5.37","-75.98","-76.16","-76.07","25","109.5","25","0.07","356.5","194","1549","1549"
"Tadarida kuboriensis","Tadarida kuboriensis",143.72,-5.84,"Tadarida_kuboriensis","Chiroptera","Molossidae","Tadarida","kuboriensis",,,,"26.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"182715.75","-3.33","-10.12","-6.72","149.62","137.82","143.72","1","9.51","2","0.14","269.77","208.03","1678.34","1681.47"
"Sturnira mordax","Sturnira mordax",-83.26,9.31,"Sturnira_mordax","Chiroptera","Phyllostomidae","Sturnira","mordax",,,,"11.79",,,,,,,"1","1",,"46.5",,,,"1","2",,,,,"0.98",,,,,,,,,,,"36057.38","10.88","8.25","9.56","-81.23","-85.29","-83.26","9","53.04","9","0.1","248.5","247.78","1327.37","1785.64"
"Sturnira nana","Sturnira nana",-72.81,-12.62,"Sturnira_nana","Chiroptera","Phyllostomidae","Sturnira","nana",,,,,,,,"6.64",,,"1","1",,"34.99",,,,"1","2",,,,,"0.98",,,,,,,,,,,"134979.84","-10.62","-14.63","-12.62","-71.03","-74.58","-72.81","0","12.84","1","0.06","131.46","162.58","1028.3","1410.99"
"Sturnira oporaphilum","Sturnira oporaphilum",-68.99,-12.90,"Sturnira_oporaphilum","Chiroptera","Phyllostomidae","Sturnira","oporaphilum",,,,"21.99",,,,,,,,,,"45.99",,,,,,,,,,,,,,,,,,,,,"791859.53","-8.31","-25.12","-16.72","-63","-74.99","-68.99","0","8.03","0","0.12","137.9","196.4","1172.16","1483.77"
"Sturnira thomasi","Sturnira thomasi",-61.67,16.14,"Sturnira_thomasi","Chiroptera","Phyllostomidae","Sturnira","thomasi",,,,,,,,"15.46",,,"1","1",,"47",,,,"1","2",,,,,,,,,,,,,,,,"1580.07","16.81","15.94","16.38","-61.16","-62.24","-61.7","104","221.77","104","0.06",,,,
"Sturnira tildae","Sturnira tildae",-56.80,-5.33,"Sturnira_tildae","Chiroptera","Phyllostomidae","Sturnira","tildae",,,,"24.39","20.5","2.62",,,,,"1","1",,"45.5",,,,"1","2",,,,,"0.98",,,,"39.97",,,,,,,"11144679","10.74","-26.24","-7.74","-34.79","-78.82","-56.8","0","21.92","0","0.12","154.33","239.61","1303.06","1541.03"
"Styloctenium wallacei","Styloctenium wallacei",122.17,-3.05,"Styloctenium_wallacei","Chiroptera","Pteropodidae","Styloctenium","wallacei",,,,"172.42",,,,,,,,,,"94.87",,,,"1","2","164.5",,,,,,,,,,,,,,,"113590.54","1.75","-4.17","-1.2","125.24","119.11","122.17","17","63.48","17","0.09","227.03","209.03","1812.6","1909.15"
"Stylodipus andrewsi","Stylodipus andrewsi",103.70,45.12,"Stylodipus_andrewsi","Rodentia","Dipodidae","Stylodipus","andrewsi","1",,,,,,,,,,"3","1",,,,,,"2","1",,,,,,,,,,,,,,,,"597777.62","51.32","41.38","46.35","116.03","91.37","103.7","0","2.58","0","0.03","18.27","-8.86","241.06","543.53"
"Stylodipus sungorus","Stylodipus sungorus",93.54,45.11,"Stylodipus_sungorus","Rodentia","Dipodidae","Stylodipus","sungorus","1",,,,,,,,,,"3","1",,,,,,"2","1",,,,,,,,,,,,,,,,"106238.21","47.26","44.09","45.68","96.19","86.8","91.49","1","2.09","1","0.08","12.05","12.77","161.93","588.33"
"Stylodipus telum","Stylodipus telum",70.56,46.88,"Stylodipus_telum","Rodentia","Dipodidae","Stylodipus","telum","1",,,"59.99",,,,,,,"3","1",,,,,,"2","1",,,,,"3.49","1",,,,,"0.00350","0.00329",,,,"2127863.71","51.95","40.35","46.15","90.9","40.17","65.53","0","7.69","0","0.00932","18.83","64.73","261.33","595.4"
"Suncus ater","Suncus ater",116.55,6.07,"Suncus_ater","Soricomorpha","Soricidae","Suncus","ater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"794.09","6.22","5.93","6.07","116.7","116.41","116.55","17","75.74","17","0.3","229","226.99","1840","1905.02"
"Suncus dayi","Suncus dayi",77.00,10.24,"Suncus_dayi","Soricomorpha","Soricidae","Suncus","dayi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9522.82","10.66","9.93","10.29","77.82","76.18","77","233","585.56","233","0.04","166.68","270.1","1148.11","1474.23"
"Suncus etruscus","Suncus etruscus",86.32,22.88,"Suncus_etruscus","Soricomorpha","Soricidae","Suncus","etruscus",,"14.5",,"2.26",,"0.2","2.06",,,,,,,,"27.5",,,,,,"14.8",,,"4","3.4",,"32.4",,,,,,,"20","5424319.83","48.83","7.57","28.2","102.32","-9.49","46.41","0","145.68","2","0.08","69.01","163.9","588.44","1153.01"
"Suncus fellowesgordoni","Suncus fellowesgordoni",80.79,7.14,"Suncus_fellowesgordoni","Soricomorpha","Soricidae","Suncus","fellowesgordoni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6493.32","7.59","6.67","7.13","81.18","80.39","80.79","104","353.9","104","0.02","174.28","246.85","1571.4","1594.12"
"Suncus hosei","Suncus hosei",114.05,0.63,"Suncus_hosei","Soricomorpha","Soricidae","Suncus","hosei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"737548","7.03","-4.18","1.42","119.26","108.83","114.05","1","26.95","3","0.18","260.63","244.88","1681.05","1712.73"
"Suncus infinitesimus","Suncus infinitesimus",33.75,-15.04,"Suncus_infinitesimus","Soricomorpha","Soricidae","Suncus","infinitesimus","2",,,"4.4",,,,,,,"1","3",,,,,"1","1","1",,,,,,,,,,,,,,,,"3258419.73","7.4","-32.7","-12.64","41.44","11.9","26.67","1","38.71","3","0.16","76.89","219.28","889.71","1465.46"
"Suncus madagascariensis","Suncus madagascariensis",46.85,-20.17,"Suncus_madagascariensis","Soricomorpha","Soricidae","Suncus","madagascariensis",,,,"2.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"593924.91","-11.94","-25.6","-18.77","50.48","43.22","46.85","2","25.75","3","0.19","120.91","219.78","1075.65","1581.19"
"Suncus malayanus","Suncus malayanus",101.96,4.25,"Suncus_malayanus","Soricomorpha","Soricidae","Suncus","malayanus",,,,"4.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70847.37","6.45","2.17","4.31","103.09","100.83","101.96","3","104.35","3","0.09","201.25","250.79","1677.62","1802.15"
"Suncus megalura","Suncus megalura",13.79,-11.96,"Suncus_megalura","Soricomorpha","Soricidae","Suncus","megalura",,,,"5.38",,,,,,,,,,,,,,"2","2",,,,,"1.89",,,,,"977",,,,,,"9171688.85","13.7","-22.42","-4.36","41.02","-13.42","13.79","0","41.54","2","0.15","114.32","231.73","1109.56","1522.82"
"Suncus mertensi","Suncus mertensi",121.14,-8.66,"Suncus_mertensi","Soricomorpha","Soricidae","Suncus","mertensi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"518.99","-8.54","-8.77","-8.66","121.26","121.02","121.14","41","41","41","0.02","199","230",,
"Suncus montanus","Suncus montanus",77.06,10.34,"Suncus_montanus","Soricomorpha","Soricidae","Suncus","montanus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40185.65","11.87","6.61","9.24","81.17","76.39","78.78","104","441.7","129","0.04","148.78","257.81","1267.01","1574.79"
"Suncus murinus","Suncus murinus",94.60,15.91,"Suncus_murinus","Soricomorpha","Soricidae","Suncus","murinus",,"8.5",,"43.76",,"2.44","25.87",,,,,,,,"30.19",,,,,"126.36",,,"56.2","3.1","9.8",,"30",,,,,"32.44",,"19.16","6024903.61","34.57","1.26","17.92","132.09","68.93","100.51","1","271.61","11","0.09","124.42","230.76","942.92","1431.95"
"Suncus remyi","Suncus remyi",14.79,1.84,"Suncus_remyi","Soricomorpha","Soricidae","Suncus","remyi",,,,"4.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75819.4","3.08","0.39","1.74","16.85","12.72","14.79","0","1.78","1","0.01","139.24","241.46","1393.87","1497.26"
"Suncus stoliczkanus","Suncus stoliczkanus",73.91,22.98,"Suncus_stoliczkanus","Soricomorpha","Soricidae","Suncus","stoliczkanus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"893458.22","30.14","15.9","23.02","78.89","68.93","73.91","7","238.56","47","0.1","62.37","256.42","546.6","1428.15"
"Suncus varilla","Suncus varilla",31.89,-11.92,"Suncus_varilla","Soricomorpha","Soricidae","Suncus","varilla",,,,"4.99",,,,,,,"1","3",,,,,,"2","2",,,,,"3.49",,,,,,,,"253.75",,,"2735848.6","10.81","-33.77","-11.48","39.55","8.27","23.91","1","34.17","4","0.15","76.31","206.37","820.01","1432.43"
"Suncus zeylanicus","Suncus zeylanicus",80.82,7.13,"Suncus_zeylanicus","Soricomorpha","Soricidae","Suncus","zeylanicus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5784.3","7.61","6.72","7.16","81.22","80.41","80.82","104","353.9","104","0.02","174.28","246.85","1571.4","1594.12"
"Sundamys infraluteus","Sundamys infraluteus",103.89,-3.98,"Sundamys_infraluteus","Rodentia","Muridae","Sundamys","infraluteus",,,,"418.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"139160.38","6.49","-5.9","0.29","117.23","97.05","107.14","4","102.95","17","0.14","244.69","242.41","1744.69","1821.5"
"Sundamys maxi","Sundamys maxi",107.38,-7.16,"Sundamys_maxi","Rodentia","Muridae","Sundamys","maxi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"849.1","-7.01","-7.31","-7.16","107.53","107.23","107.38","570","634","570","0.06","253.5","203","1619","1785.5"
"Tadarida fulminans","Tadarida fulminans",31.90,-11.19,"Tadarida_fulminans","Chiroptera","Molossidae","Tadarida","fulminans",,,,"33.89",,,,,,,"1","3",,"59","104.29",,,"1","2",,,,,"1","2",,,,,,,,,,"1162426.19","0.41","-23.01","-11.29","47.35","25.93","36.64","2","39.28","4","0.15","73.87","212.88","859.95","1485.78"
"Tadarida insignis","Tadarida insignis",136.46,35.35,"Tadarida_insignis","Chiroptera","Molossidae","Tadarida","insignis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"546642.59","45.52","21.9","33.71","145.82","116","130.91","56","373.82","73","0.02","122.92","101.6","804","880.93"
"Tragelaphus scriptus","Tragelaphus scriptus",14.02,-9.11,"Tragelaphus_scriptus","Artiodactyla","Bovidae","Tragelaphus","scriptus","2",,"644.15","43250.39",,"3027.79",,,,,"4","1",,,"182.5",,"1","2","1","1247.1",,,"235.72","1",,"1.37","156",,"1.52","0.02","0.02","431.61",,,"13167565.73","16.11","-34.83","-9.36","45.58","-17.53","14.02","0","41.29","1","0.13","94.18","237.61","934.54","1541.54"
"Tragelaphus spekii","Tragelaphus spekii",21.28,-15.36,"Tragelaphus_spekii","Artiodactyla","Bovidae","Tragelaphus","spekii","2",,"608.33","75554.25",,"4000",,,,,"2","1",,,"241.15",,"6","2","1","1520.84",,,"352.83","1",,"1.12","258",,"1.66",,,"619.06",,,"5256068.76","14.37","-20.93","-3.27","35.23","-16.82","9.2","0","30.39","1","0.14","124.21","236.28","1157.01","1543.12"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros",30.19,-28.54,"Tragelaphus_strepsiceros","Artiodactyla","Bovidae","Tragelaphus","strepsiceros","3",,"912.5","206056.41",,"15366.57",,,,,"2","1",,,"220.94",,"12","1","1","2199.99",,,"365","1",,"1.1","276",,"1.06","835.1","783.47","665.38",,"182.5","6476879.55","20.14","-34.05","-6.95","47.94","12.44","30.19","0","24.17","1","0.14","61.83","215.34","732.24","1469.28"
"Tragulus kanchil","Tragulus kanchil",80.40,19.92,"Tragulus_kanchil","Artiodactyla","Tragulidae","Tragulus","kanchil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3708821.44","24.14","-5.94","9.09","123.67","72.61","98.14","1","181.55","5","0.11","169.24","252.55","1207.55","1629.84"
"Tragulus napu","Tragulus napu",114.05,0.63,"Tragulus_napu","Artiodactyla","Tragulidae","Tragulus","napu","1",,"250.93","5273.67",,"372.99",,,,,"3","1",,,"154.24",,,,,"562.36",,,"152.08","0.96","1",,"195.96",,,,,"156.25","4","84.86","1593229.34","14.3","-5.94","4.18","119.26","95.18","107.22","1","91.44","4","0.14","233.98","250.86","1615.97","1742.06"
"Tragulus nigricans","Tragulus nigricans",118.44,9.50,"Tragulus_nigricans","Artiodactyla","Tragulidae","Tragulus","nigricans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11882.48","11.42","7.8","9.61","119.71","116.93","118.32","22","44.59","23.5","0.21","224","249.78",,
"Tremarctos ornatus","Tremarctos ornatus",-68.10,-15.58,"Tremarctos_ornatus","Carnivora","Ursidae","Tremarctos","ornatus","2",,,"123176.97",,"320",,,,,"5","2",,,"215",,,"1","1","1766.58",,,,"1.44",,,"437",,,,,,,"173.44","409517.73","11.25","-22.3","-5.52","-63.19","-80.06","-71.63","1","35.22","2","0.11","125.36","179.82","1182.37","1482.17"
"Triaenops auritus","Triaenops auritus",49.27,-12.30,"Triaenops_auritus","Chiroptera","Hipposideridae","Triaenops","auritus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.57","-12.27","-12.32","-12.3","49.3","49.25","49.27","43","43","43","0.16","81","265",,
